Pop2023,Pop2022,city,country,continent,growthRate,rank,
37194104,37274000,Tokyo,Japan,Asia,-0.0021,1,
32941308,32065760,Delhi,India,Asia,0.0273,2,
29210808,28516904,Shanghai,China,Asia,0.0243,3,
23209616,22478116,Dhaka,Bangladesh,Asia,0.0325,4,
22619736,22429800,Sao Paulo,Brazil,South America,0.0085,5,
22281442,22085140,Mexico City,Mexico,North America,0.0089,6,
22183200,21750020,Cairo,Egypt,Africa,0.0199,7,
21766214,21333332,Beijing,China,Asia,0.0203,8,
21296516,20961472,Mumbai,India,Asia,0.016,9,
19013434,19059856,Osaka,Japan,Asia,-0.0024,10,
17340704,16874740,Chongqing,China,Asia,0.0276,11,
17236230,16839950,Karachi,Pakistan,Asia,0.0235,12,
16315534,15628085,Kinshasa,DR Congo,Africa,0.044,13,
15945912,15387639,Lagos,Nigeria,Africa,0.0363,14,
15847768,15636243,Istanbul,Turkey,Asia,0.0135,15,
15490415,15369919,Buenos Aires,Argentina,South America,0.0078,16,
15332793,15133888,Kolkata,India,Asia,0.0131,17,
14667089,14406059,Manila,Philippines,Asia,0.0181,18,
14284353,13964637,Guangzhou,China,Asia,0.0229,19,
14238643,14011828,Tianjin,China,Asia,0.0162,20,
13979390,13541764,Lahore,Pakistan,Asia,0.0323,21,
13727720,13634274,Rio de Janeiro,Brazil,South America,0.0069,22,
13607800,13193035,Bangalore,India,Asia,0.0314,23,
13072633,12831330,Shenzhen,China,Asia,0.0188,24,
12680389,12640818,Moscow,Russia,Europe,0.0031,25,
11776147,11503293,Chennai,India,Asia,0.0237,26,
11507960,11344312,Bogota,Colombia,South America,0.0144,27,
11248839,11074811,Jakarta,Indonesia,Asia,0.0157,28,
11208440,11142303,Paris,France,Europe,0.0059,29,
11204382,11044607,Lima,Peru,South America,0.0145,30,
11069982,10899698,Bangkok,Thailand,Asia,0.0156,31,
10801163,10534418,Hyderabad,India,Asia,0.0253,32,
9988049,9975709,Seoul,South Korea,Asia,0.0012,33,
9698464,9429381,Nanjing,China,Asia,0.0285,34,
9653772,9478521,Chengdu,China,Asia,0.0185,35,
9648110,9540576,London,United Kingdom,Europe,0.0113,36,
9569328,9571596,Nagoya,Japan,Asia,-0.0002,37,
9499781,9381546,Tehran,Iran,Asia,0.0126,38,
9320866,9077158,Ho Chi Minh City,Vietnam,Asia,0.0268,39,
9292336,8952496,Luanda,Angola,Africa,0.038,40,
8785174,8537646,Xi-an Shaanxi,China,Asia,0.029,41,
8718250,8591611,Wuhan,China,Asia,0.0147,42,
8650605,8450228,Ahmedabad,India,Asia,0.0237,43,
8621724,8419566,Kuala Lumpur,Malaysia,Asia,0.024,44,
8237206,8044878,Hangzhou,China,Asia,0.0239,45,
8074031,7764499,Suzhou,China,Asia,0.0399,46,
8064949,7784276,Surat,India,Asia,0.0361,47,
7888121,8172684,New York City,United States,North America,-0.0348,48,
7775865,7404689,Dar es Salaam,Tanzania,Africa,0.0501,49,
7711305,7511920,Baghdad,Iraq,Asia,0.0265,50,
7684801,7643256,Hong Kong,Hong Kong,Asia,0.0054,51,
7682430,7538200,Riyadh,Saudi Arabia,Asia,0.0191,52,
7680967,7527975,Shenyang,China,Asia,0.0203,53,
7597386,7497263,Foshan,China,Asia,0.0134,54,
7587049,7511851,Dongguan,China,Asia,0.01,55,
7166374,6987077,Pune,India,Asia,0.0257,56,
6903392,6856939,Santiago,Chile,South America,0.0068,57,
6803811,6665951,Haerbin,China,Asia,0.0207,58,
6751374,6713557,Madrid,Spain,Europe,0.0056,59,
6371958,6312974,Toronto,Canada,North America,0.0093,60,
6344348,6160327,Khartoum,Sudan,Africa,0.0299,61,
